"fit_key","representative_run_id","n_cell_types","n_cells_used","output_path"
"  500_low_ 200_none",1,2,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00001.rds"
" 2000_low_ 200_none",6,2,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00006.rds"
"10000_low_ 200_none",11,2,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00011.rds"
"  500_medium_ 200_none",46,4,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00046.rds"
" 2000_medium_ 200_none",51,4,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00051.rds"
"10000_medium_ 200_none",56,4,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00056.rds"
"  500_high_ 200_none",91,5,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00091.rds"
" 2000_high_ 200_none",96,5,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00096.rds"
"10000_high_ 200_none",101,5,200,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00101.rds"
"  500_low_1000_none",136,2,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00136.rds"
" 2000_low_1000_none",141,2,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00141.rds"
"10000_low_1000_none",146,2,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00146.rds"
"  500_medium_1000_none",181,4,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00181.rds"
" 2000_medium_1000_none",186,4,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00186.rds"
"10000_medium_1000_none",191,4,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00191.rds"
"  500_high_1000_none",226,5,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00226.rds"
" 2000_high_1000_none",231,5,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00231.rds"
"10000_high_1000_none",236,5,1000,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00236.rds"
"  500_low_5000_none",271,2,1485,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00271.rds"
" 2000_low_5000_none",276,2,1485,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00276.rds"
"10000_low_5000_none",281,2,1485,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00281.rds"
"  500_medium_5000_none",316,4,2009,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00316.rds"
" 2000_medium_5000_none",321,4,2009,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00321.rds"
"10000_medium_5000_none",326,4,2009,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00326.rds"
"  500_high_5000_none",361,5,2695,"data/simulated/ground_truth/scdesign3/scdesign3_truth_run_00361.rds"
