"fit_key","representative_run_id","n_populations","n_cells_total","matches_production_pop","output_path"
"low_ 200_none_none_  500",1,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00001.rds"
"low_ 200_none_none_ 2000",6,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00006.rds"
"low_ 200_none_none_10000",11,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00011.rds"
"low_ 200_none_high_  500",16,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00016.rds"
"low_ 200_none_high_ 2000",21,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00021.rds"
"low_ 200_none_high_10000",26,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00026.rds"
"low_ 200_none_low_  500",31,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00031.rds"
"low_ 200_none_low_ 2000",36,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00036.rds"
"low_ 200_none_low_10000",41,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00041.rds"
"medium_ 200_none_none_  500",46,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00046.rds"
"medium_ 200_none_none_ 2000",51,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00051.rds"
"medium_ 200_none_none_10000",56,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00056.rds"
"medium_ 200_none_high_  500",61,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00061.rds"
"medium_ 200_none_high_ 2000",66,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00066.rds"
"medium_ 200_none_high_10000",71,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00071.rds"
"medium_ 200_none_low_  500",76,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00076.rds"
"medium_ 200_none_low_ 2000",81,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00081.rds"
"medium_ 200_none_low_10000",86,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00086.rds"
"high_ 200_none_none_  500",91,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00091.rds"
"high_ 200_none_none_ 2000",96,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00096.rds"
"high_ 200_none_none_10000",101,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00101.rds"
"high_ 200_none_high_  500",106,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00106.rds"
"high_ 200_none_high_ 2000",111,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00111.rds"
"high_ 200_none_high_10000",116,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00116.rds"
"high_ 200_none_low_  500",121,5,200,TRUE,"data/simulated/ground_truth/symsim/symsim_truth_run_00121.rds"
