"simulator","base_run_id","sparsity","replicate","seed","file_path","is_new"
"splatter",10936,0.7,1,10936,"data/simulated/splatter/splatter_run_10936.rds",FALSE
"splatter",10936,0.7,2,110936,"data/simulated/null_control/splatter/splatter_null_sparsity0.70_rep2.rds",TRUE
"splatter",10936,0.7,3,210936,"data/simulated/null_control/splatter/splatter_null_sparsity0.70_rep3.rds",TRUE
"splatter",10937,0.8,1,10937,"data/simulated/splatter/splatter_run_10937.rds",FALSE
"splatter",10937,0.8,2,110937,"data/simulated/null_control/splatter/splatter_null_sparsity0.80_rep2.rds",TRUE
"splatter",10937,0.8,3,210937,"data/simulated/null_control/splatter/splatter_null_sparsity0.80_rep3.rds",TRUE
"splatter",10938,0.9,1,10938,"data/simulated/splatter/splatter_run_10938.rds",FALSE
"splatter",10938,0.9,2,110938,"data/simulated/null_control/splatter/splatter_null_sparsity0.90_rep2.rds",TRUE
"splatter",10938,0.9,3,210938,"data/simulated/null_control/splatter/splatter_null_sparsity0.90_rep3.rds",TRUE
"splatter",10939,0.95,1,10939,"data/simulated/splatter/splatter_run_10939.rds",FALSE
"splatter",10939,0.95,2,110939,"data/simulated/null_control/splatter/splatter_null_sparsity0.95_rep2.rds",TRUE
"splatter",10939,0.95,3,210939,"data/simulated/null_control/splatter/splatter_null_sparsity0.95_rep3.rds",TRUE
"splatter",10940,0.98,1,10940,"data/simulated/splatter/splatter_run_10940.rds",FALSE
"splatter",10940,0.98,2,110940,"data/simulated/null_control/splatter/splatter_null_sparsity0.98_rep2.rds",TRUE
"splatter",10940,0.98,3,210940,"data/simulated/null_control/splatter/splatter_null_sparsity0.98_rep3.rds",TRUE
"scdesign3",10936,0.7,1,10936,"data/simulated/scdesign3/scdesign3_run_10936.rds",FALSE
"scdesign3",10936,0.7,2,110936,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.70_rep2.rds",TRUE
"scdesign3",10936,0.7,3,210936,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.70_rep3.rds",TRUE
"scdesign3",10937,0.8,1,10937,"data/simulated/scdesign3/scdesign3_run_10937.rds",FALSE
"scdesign3",10937,0.8,2,110937,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.80_rep2.rds",TRUE
"scdesign3",10937,0.8,3,210937,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.80_rep3.rds",TRUE
"scdesign3",10938,0.9,1,10938,"data/simulated/scdesign3/scdesign3_run_10938.rds",FALSE
"scdesign3",10938,0.9,2,110938,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.90_rep2.rds",TRUE
"scdesign3",10938,0.9,3,210938,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.90_rep3.rds",TRUE
"scdesign3",10939,0.95,1,10939,"data/simulated/scdesign3/scdesign3_run_10939.rds",FALSE
"scdesign3",10939,0.95,2,110939,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.95_rep2.rds",TRUE
"scdesign3",10939,0.95,3,210939,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.95_rep3.rds",TRUE
"scdesign3",10940,0.98,1,10940,"data/simulated/scdesign3/scdesign3_run_10940.rds",FALSE
"scdesign3",10940,0.98,2,110940,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.98_rep2.rds",TRUE
"scdesign3",10940,0.98,3,210940,"data/simulated/null_control/scdesign3/scdesign3_null_sparsity0.98_rep3.rds",TRUE
"symsim",10936,0.7,1,10936,"data/simulated/symsim/symsim_run_10936.rds",FALSE
"symsim",10936,0.7,2,110936,"data/simulated/null_control/symsim/symsim_null_sparsity0.70_rep2.rds",TRUE
"symsim",10936,0.7,3,210936,"data/simulated/null_control/symsim/symsim_null_sparsity0.70_rep3.rds",TRUE
"symsim",10937,0.8,1,10937,"data/simulated/symsim/symsim_run_10937.rds",FALSE
"symsim",10937,0.8,2,110937,"data/simulated/null_control/symsim/symsim_null_sparsity0.80_rep2.rds",TRUE
"symsim",10937,0.8,3,210937,"data/simulated/null_control/symsim/symsim_null_sparsity0.80_rep3.rds",TRUE
"symsim",10938,0.9,1,10938,"data/simulated/symsim/symsim_run_10938.rds",FALSE
"symsim",10938,0.9,2,110938,"data/simulated/null_control/symsim/symsim_null_sparsity0.90_rep2.rds",TRUE
"symsim",10938,0.9,3,210938,"data/simulated/null_control/symsim/symsim_null_sparsity0.90_rep3.rds",TRUE
"symsim",10939,0.95,1,10939,"data/simulated/symsim/symsim_run_10939.rds",FALSE
"symsim",10939,0.95,2,110939,"data/simulated/null_control/symsim/symsim_null_sparsity0.95_rep2.rds",TRUE
"symsim",10939,0.95,3,210939,"data/simulated/null_control/symsim/symsim_null_sparsity0.95_rep3.rds",TRUE
"symsim",10940,0.98,1,10940,"data/simulated/symsim/symsim_run_10940.rds",FALSE
"symsim",10940,0.98,2,110940,"data/simulated/null_control/symsim/symsim_null_sparsity0.98_rep2.rds",TRUE
"symsim",10940,0.98,3,210940,"data/simulated/null_control/symsim/symsim_null_sparsity0.98_rep3.rds",TRUE
