"run_id","sparsity","depth","dropout","separability","n_cells","n_groups","batch","gene_strategy","clipping","is_null_control"
1,0.7,500,"none","low",200,5,"none","all","none",FALSE
2,0.8,500,"none","low",200,5,"none","all","none",FALSE
3,0.9,500,"none","low",200,5,"none","all","none",FALSE
4,0.95,500,"none","low",200,5,"none","all","none",FALSE
5,0.98,500,"none","low",200,5,"none","all","none",FALSE
6,0.7,2000,"none","low",200,5,"none","all","none",FALSE
7,0.8,2000,"none","low",200,5,"none","all","none",FALSE
8,0.9,2000,"none","low",200,5,"none","all","none",FALSE
9,0.95,2000,"none","low",200,5,"none","all","none",FALSE
10,0.98,2000,"none","low",200,5,"none","all","none",FALSE
11,0.7,10000,"none","low",200,5,"none","all","none",FALSE
12,0.8,10000,"none","low",200,5,"none","all","none",FALSE
13,0.9,10000,"none","low",200,5,"none","all","none",FALSE
14,0.95,10000,"none","low",200,5,"none","all","none",FALSE
15,0.98,10000,"none","low",200,5,"none","all","none",FALSE
16,0.7,500,"high","low",200,5,"none","all","none",FALSE
17,0.8,500,"high","low",200,5,"none","all","none",FALSE
18,0.9,500,"high","low",200,5,"none","all","none",FALSE
19,0.95,500,"high","low",200,5,"none","all","none",FALSE
20,0.98,500,"high","low",200,5,"none","all","none",FALSE
21,0.7,2000,"high","low",200,5,"none","all","none",FALSE
22,0.8,2000,"high","low",200,5,"none","all","none",FALSE
23,0.9,2000,"high","low",200,5,"none","all","none",FALSE
24,0.95,2000,"high","low",200,5,"none","all","none",FALSE
25,0.98,2000,"high","low",200,5,"none","all","none",FALSE
26,0.7,10000,"high","low",200,5,"none","all","none",FALSE
27,0.8,10000,"high","low",200,5,"none","all","none",FALSE
28,0.9,10000,"high","low",200,5,"none","all","none",FALSE
29,0.95,10000,"high","low",200,5,"none","all","none",FALSE
30,0.98,10000,"high","low",200,5,"none","all","none",FALSE
31,0.7,500,"low","low",200,5,"none","all","none",FALSE
32,0.8,500,"low","low",200,5,"none","all","none",FALSE
33,0.9,500,"low","low",200,5,"none","all","none",FALSE
34,0.95,500,"low","low",200,5,"none","all","none",FALSE
35,0.98,500,"low","low",200,5,"none","all","none",FALSE
36,0.7,2000,"low","low",200,5,"none","all","none",FALSE
37,0.8,2000,"low","low",200,5,"none","all","none",FALSE
38,0.9,2000,"low","low",200,5,"none","all","none",FALSE
39,0.95,2000,"low","low",200,5,"none","all","none",FALSE
40,0.98,2000,"low","low",200,5,"none","all","none",FALSE
41,0.7,10000,"low","low",200,5,"none","all","none",FALSE
42,0.8,10000,"low","low",200,5,"none","all","none",FALSE
43,0.9,10000,"low","low",200,5,"none","all","none",FALSE
44,0.95,10000,"low","low",200,5,"none","all","none",FALSE
45,0.98,10000,"low","low",200,5,"none","all","none",FALSE
46,0.7,500,"none","medium",200,5,"none","all","none",FALSE
47,0.8,500,"none","medium",200,5,"none","all","none",FALSE
48,0.9,500,"none","medium",200,5,"none","all","none",FALSE
49,0.95,500,"none","medium",200,5,"none","all","none",FALSE
50,0.98,500,"none","medium",200,5,"none","all","none",FALSE
51,0.7,2000,"none","medium",200,5,"none","all","none",FALSE
52,0.8,2000,"none","medium",200,5,"none","all","none",FALSE
53,0.9,2000,"none","medium",200,5,"none","all","none",FALSE
54,0.95,2000,"none","medium",200,5,"none","all","none",FALSE
55,0.98,2000,"none","medium",200,5,"none","all","none",FALSE
56,0.7,10000,"none","medium",200,5,"none","all","none",FALSE
57,0.8,10000,"none","medium",200,5,"none","all","none",FALSE
58,0.9,10000,"none","medium",200,5,"none","all","none",FALSE
59,0.95,10000,"none","medium",200,5,"none","all","none",FALSE
60,0.98,10000,"none","medium",200,5,"none","all","none",FALSE
