"dropout_label","lib_loc","actual_depth"
"none",5.5,250.4
"none",6,412.9
"none",6.2,504.3
"none",6.5,680.1
"none",7,1122.4
"none",7.6,2045.8
"none",8,3048.6
"none",8.5,5026
"none",9,8283.9
"none",9.2,10125.3
"low",5.5,102.4
"low",6,192.6
"low",6.2,248
"low",6.5,359.9
"low",7,668.4
"low",7.6,1372.9
"low",8,2182.3
"low",8.5,3859
"low",9,6753.2
"low",9.2,8441
"high",5.5,27.4
"high",6,57.1
"high",6.2,78.1
"high",6.5,122.5
"high",7,263.8
"high",7.6,650.3
"high",8,1159.9
"high",8.5,2308.2
"high",9,4455.3
"high",9.2,5764.2
