"dropout_label","alpha_mean","depth_mean","actual_umi","actual_sparsity"
"none",0.97,200,239.44,0.9373
"none",0.97,500,501.46,0.8895
"none",0.97,1000,1002.06,0.8214
"none",0.97,2000,1987.48,0.7301
"none",0.97,5000,4885.7,0.583
"none",0.97,10000,9490.56,0.468
"none",0.97,25000,21915.76,0.3347
"none",0.97,50000,39189.85,0.2573
"low",0.08,200,234.31,0.9379
"low",0.08,500,484.15,0.8921
"low",0.08,1000,936.04,0.8288
"low",0.08,2000,1756.12,0.7465
"low",0.08,5000,3744.33,0.6211
"low",0.08,10000,6090.56,0.5319
"low",0.08,25000,10013.69,0.44
"low",0.08,50000,12890.26,0.3951
"high",0.02,200,220.68,0.9406
"high",0.02,500,429.11,0.9009
"high",0.02,1000,759.06,0.8522
"high",0.02,2000,1262.24,0.7937
"high",0.02,5000,2169.36,0.7173
"high",0.02,10000,2926.94,0.6708
"high",0.02,25000,3739.41,0.6324
"high",0.02,50000,4108.04,0.6188
