"file","simulator","depth_label","dropout","separability","n_cells_target","batch","gene_strategy","clipping","is_null_control","error"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00001.rds","scdesign3","500","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00002.rds","scdesign3","500","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00003.rds","scdesign3","500","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00004.rds","scdesign3","500","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00005.rds","scdesign3","500","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00006.rds","scdesign3","2000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00007.rds","scdesign3","2000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00008.rds","scdesign3","2000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00009.rds","scdesign3","2000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00010.rds","scdesign3","2000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00011.rds","scdesign3","10000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00012.rds","scdesign3","10000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00013.rds","scdesign3","10000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00014.rds","scdesign3","10000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00015.rds","scdesign3","10000","none","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00016.rds","scdesign3","500","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00017.rds","scdesign3","500","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00018.rds","scdesign3","500","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00019.rds","scdesign3","500","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00020.rds","scdesign3","500","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00021.rds","scdesign3","2000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00022.rds","scdesign3","2000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00023.rds","scdesign3","2000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00024.rds","scdesign3","2000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00025.rds","scdesign3","2000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00026.rds","scdesign3","10000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00027.rds","scdesign3","10000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00028.rds","scdesign3","10000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00029.rds","scdesign3","10000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00030.rds","scdesign3","10000","low","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00031.rds","scdesign3","500","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00032.rds","scdesign3","500","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00033.rds","scdesign3","500","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00034.rds","scdesign3","500","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00035.rds","scdesign3","500","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00036.rds","scdesign3","2000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00037.rds","scdesign3","2000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00038.rds","scdesign3","2000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00039.rds","scdesign3","2000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00040.rds","scdesign3","2000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00041.rds","scdesign3","10000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00042.rds","scdesign3","10000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00043.rds","scdesign3","10000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00044.rds","scdesign3","10000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00045.rds","scdesign3","10000","high","low","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00046.rds","scdesign3","500","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00047.rds","scdesign3","500","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00048.rds","scdesign3","500","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00049.rds","scdesign3","500","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00050.rds","scdesign3","500","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00051.rds","scdesign3","2000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00052.rds","scdesign3","2000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00053.rds","scdesign3","2000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00054.rds","scdesign3","2000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00055.rds","scdesign3","2000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00056.rds","scdesign3","10000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00057.rds","scdesign3","10000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00058.rds","scdesign3","10000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00059.rds","scdesign3","10000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00060.rds","scdesign3","10000","none","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00061.rds","scdesign3","500","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00062.rds","scdesign3","500","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00063.rds","scdesign3","500","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00064.rds","scdesign3","500","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00065.rds","scdesign3","500","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00066.rds","scdesign3","2000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00067.rds","scdesign3","2000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00068.rds","scdesign3","2000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00069.rds","scdesign3","2000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00070.rds","scdesign3","2000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00071.rds","scdesign3","10000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00072.rds","scdesign3","10000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00073.rds","scdesign3","10000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00074.rds","scdesign3","10000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00075.rds","scdesign3","10000","low","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00076.rds","scdesign3","500","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00077.rds","scdesign3","500","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00078.rds","scdesign3","500","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00079.rds","scdesign3","500","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00080.rds","scdesign3","500","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00081.rds","scdesign3","2000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00082.rds","scdesign3","2000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00083.rds","scdesign3","2000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00084.rds","scdesign3","2000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00085.rds","scdesign3","2000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00086.rds","scdesign3","10000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00087.rds","scdesign3","10000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00088.rds","scdesign3","10000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00089.rds","scdesign3","10000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00090.rds","scdesign3","10000","high","medium","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00091.rds","scdesign3","500","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00092.rds","scdesign3","500","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00093.rds","scdesign3","500","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00094.rds","scdesign3","500","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00095.rds","scdesign3","500","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00096.rds","scdesign3","2000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00097.rds","scdesign3","2000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00098.rds","scdesign3","2000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00099.rds","scdesign3","2000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00100.rds","scdesign3","2000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00101.rds","scdesign3","10000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00102.rds","scdesign3","10000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00103.rds","scdesign3","10000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00104.rds","scdesign3","10000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00105.rds","scdesign3","10000","none","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00106.rds","scdesign3","500","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00107.rds","scdesign3","500","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00108.rds","scdesign3","500","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00109.rds","scdesign3","500","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00110.rds","scdesign3","500","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00111.rds","scdesign3","2000","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00112.rds","scdesign3","2000","low","high","200","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00113.rds","scdesign3","2000","low","high","200","none","all","none","FALSE",NA
