"source","run_id","method","status","subspace_recovery_score_samegenes","grassmann_distance_samegenes","n_genes_used_samegenes","subspace_recovery_score","grassmann_distance","recovery_score_delta"
"scdesign3",151,"pca_libnorm","ok",0.00526146518000961,0.997365797899642,2000,0.00526146518000983,0.997365797899642,-2.23779328401008e-16
"scdesign3",151,"pca_log","ok",0.321268956806201,0.823851347752614,2000,0.321268956806201,0.823851347752614,-5.55111512312578e-17
"scdesign3",151,"pca_raw","ok",0.614040708884353,0.621256220182661,2000,0.614040708884358,0.621256220182657,-5.10702591327572e-15
"scdesign3",151,"pca_shiftedlog","ok",0.52830121648371,0.686803307735402,2000,0.52830121648371,0.686803307735403,3.33066907387547e-16
"scdesign3",152,"pca_libnorm","ok",0.000677044190186587,0.999661420586897,2000,0.000677044190186598,0.999661420586897,-1.14925430283463e-17
"scdesign3",152,"pca_log","ok",0.348114411200859,0.807394320514543,2000,0.348114411200859,0.807394320514543,-5.55111512312578e-17
"scdesign3",152,"pca_raw","ok",0.598343673449579,0.633763620406237,2000,0.598343673449582,0.633763620406234,-2.55351295663786e-15
"scdesign3",152,"pca_shiftedlog","ok",0.016448478256554,0.991741660788456,2000,0.0164484782565539,0.991741660788457,1.07552855510562e-16
"scdesign3",153,"pca_libnorm","ok",0.000624124576962167,0.999687889004882,2000,0.000624124576962178,0.999687889004882,-1.09504419421036e-17
"scdesign3",153,"pca_log","ok",0.00376558837779724,0.998115430009076,2000,0.00376558837779727,0.998115430009076,-2.77555756156289e-17
"scdesign3",153,"pca_raw","ok",0.559667692919903,0.663575396680812,2000,0.559667692919904,0.663575396680811,-1.11022302462516e-15
"scdesign3",153,"pca_shiftedlog","ok",0.00916045180054813,0.995409236545177,2000,0.00916045180054826,0.995409236545177,-1.26634813746307e-16
"scdesign3",154,"pca_libnorm","ok",6.66588542378149e-05,0.999966670017437,2000,6.66588542378149e-05,0.999966670017437,2.71050543121376e-20
"scdesign3",154,"pca_log","ok",0.00131673013571892,0.999341418067059,2000,0.00131673013571892,0.999341418067059,3.90312782094782e-18
"scdesign3",154,"pca_raw","ok",0.418551217893345,0.762527889395959,2000,0.41855121789335,0.762527889395955,-5.38458166943201e-15
