"axis","simulator","method","method_label","method_family","threshold_value","threshold_status","reliable","reliability_note","ground_truth_caveat"
"sparsity","scdesign3","pca_glmpca","GLM-PCA","nonlinear",NA,"always_below_threshold",TRUE,NA,"subspace_recovery_score/grassmann_distance/spectral_recovery_score computed against a linearly-defined ground truth; for this nonlinear method the score partly reflects representational mismatch, not purely biological recovery -- see PROJECT_HANDOVER.md"
"sparsity","scdesign3","pca_libnorm","Libnorm PCA","linear",0.807487391955476,"interpolated",TRUE,NA,NA
"sparsity","scdesign3","pca_log","Log-PCA","linear",NA,"always_below_threshold",TRUE,NA,NA
"sparsity","scdesign3","pca_raw","Raw PCA","linear",0.827280843637148,"interpolated",TRUE,NA,NA
"sparsity","scdesign3","pca_sctransform_v2","Pearson Residual PCA (SCT v2)","nonlinear",NA,"always_below_threshold",TRUE,NA,"subspace_recovery_score/grassmann_distance/spectral_recovery_score computed against a linearly-defined ground truth; for this nonlinear method the score partly reflects representational mismatch, not purely biological recovery -- see PROJECT_HANDOVER.md"
"sparsity","scdesign3","pca_shiftedlog","Shifted Log-PCA","linear",0.770967100092429,"interpolated",TRUE,NA,NA
"sparsity","splatter","pca_glmpca","GLM-PCA","nonlinear",NA,"always_below_threshold",TRUE,NA,"subspace_recovery_score/grassmann_distance/spectral_recovery_score computed against a linearly-defined ground truth; for this nonlinear method the score partly reflects representational mismatch, not purely biological recovery -- see PROJECT_HANDOVER.md"
"sparsity","splatter","pca_libnorm","Libnorm PCA","linear",0.884667859584993,"interpolated",TRUE,NA,NA
"sparsity","splatter","pca_log","Log-PCA","linear",0.924351146669268,"interpolated",TRUE,NA,NA
"sparsity","splatter","pca_raw","Raw PCA","linear",0.797521384121694,"interpolated",TRUE,NA,NA
"sparsity","splatter","pca_sctransform_v2","Pearson Residual PCA (SCT v2)","nonlinear",0.876557924486623,"interpolated",TRUE,NA,"subspace_recovery_score/grassmann_distance/spectral_recovery_score computed against a linearly-defined ground truth; for this nonlinear method the score partly reflects representational mismatch, not purely biological recovery -- see PROJECT_HANDOVER.md"
"sparsity","splatter","pca_shiftedlog","Shifted Log-PCA","linear",0.929905116424021,"interpolated",TRUE,NA,NA
