"n_labeled","n_groups_used","nv_used","null_mean","null_median","null_5pct","null_1pct","null_min"
8569,14,30,-0.0109728829686379,-0.0109328253985568,-0.0114572100990337,-0.011703808749357,-0.0118133702371242
2126,10,30,-0.0142179849555814,-0.0142157690696485,-0.0149558904758643,-0.0151444986593752,-0.015450887616081
65690,5,30,-0.00160845095605282,-0.0015992126208156,-0.00177803672968884,-0.00184339663927204,-0.00187236485026266
2209,14,30,-0.0183781487202898,-0.0183874146031091,-0.0191102484672614,-0.0192929820456377,-0.0194862355184511
61292,34,30,-0.00859810657707266,-0.00860640834896349,-0.00887571070508092,-0.00899097455067051,-0.00906802241206574
20391,23,30,-0.0108941041755439,-0.0108534065302631,-0.0113353717372089,-0.0114816769053203,-0.0116355769229681
200,2,30,0.00979804613985727,0.00958555865678365,0.00622463782420038,0.00507575710085408,0.00430474085520139
200,2,50,0.00982714931073309,0.00973876966165087,0.00692854344545012,0.00584254312289098,0.00429801928536027
200,5,30,-0.00500837232052983,-0.00505951882253527,-0.00732219161144168,-0.00828335842891997,-0.00964790352232311
200,5,50,0.00188765008012823,0.00194114143057766,-0.000858235593797155,-0.00169467803666307,-0.0031158660242388
1000,4,30,-0.00596950496060399,-0.00594521785493457,-0.00639864246615279,-0.00662367014823113,-0.00670125292680266
1000,4,50,-0.00362613175209876,-0.00363966267478528,-0.00387673701165093,-0.00399384939604724,-0.00401177336391195
1485,2,30,0.00132737100672011,0.00134190257189687,0.000739483063960653,0.000654704577589778,0.000522233501003476
1485,2,50,0.00131696630870295,0.00127842688901605,0.000893086047233336,0.000825963886172622,0.000743922055769651
2009,4,30,-0.00504014267484336,-0.00506945793318406,-0.00542525580005645,-0.00560616993186857,-0.00574081166872898
2009,4,50,-0.00340863369386144,-0.00340978470076265,-0.00359891441182668,-0.00366233073151291,-0.00385497987291953
2695,5,30,-0.0064154014528838,-0.00640274781022784,-0.00690773840531409,-0.00717631866639502,-0.00723418877464222
2695,5,50,-0.00447193876274591,-0.00448942547501902,-0.00468497973177684,-0.00474224970482106,-0.00480643599448045
200,4,30,-0.00214449013537816,-0.00211535976934536,-0.00496291961380151,-0.00555174506494628,-0.00560858207033234
200,4,50,0.00264471993469853,0.00262644903906045,0.000408297405291498,-0.000255192925243603,-0.000817393190276529
1000,2,30,0.00198637513614555,0.00194338810748022,0.00117726901239668,0.000984147279859372,0.000937739922683988
1000,2,50,0.00200153520555206,0.00197921125300779,0.00136784337856719,0.00119060846952388,0.00113481848140805
1000,5,30,-0.00850382171615167,-0.00854165924568839,-0.00901811678383934,-0.00914760620017102,-0.00947539901288943
1000,5,50,-0.00536331574263295,-0.0053663911887284,-0.00564339337750222,-0.00573378212935499,-0.00580337139101393
5000,5,30,-0.00504667545250569,-0.00505907242875596,-0.00552389169719319,-0.00567356680104167,-0.00580624476880451
5000,5,50,-0.00365484953480928,-0.00365106143158831,-0.00390230847056145,-0.00396582942962819,-0.00406643681638031
4999,5,30,-0.00508965554572796,-0.00507332326468498,-0.00554893656788503,-0.00573396740498259,-0.00576269995552912
199,5,30,-0.00471144843754131,-0.0046789500828144,-0.00758182830244698,-0.00878207687839938,-0.00989160409438325
999,5,30,-0.00855786824324642,-0.00857138316094545,-0.00902234052673201,-0.009321104959388,-0.00974465303341621
