"row_type","n_cells","n_cat","null_mean","null_95pct","null_99pct","null_max"
"simulated",1000,3,0.0566725258595515,0.0857563091216751,0.0940354950493586,0.101135001556209
"simulated",200,2,0.0942376110689369,0.162258252022175,0.19694049653982,0.203678597757514
"simulated",1000,2,0.0413407884426075,0.0724196032000473,0.0922987973563561,0.0974188334955398
"simulated",1485,2,0.0358195129993191,0.0631310582042247,0.075825910090805,0.0886831371902722
"simulated",2009,2,0.0292778330028125,0.0547842730597045,0.060106536844576,0.0676673855208609
"simulated",2695,2,0.0269407350555794,0.0493862164607868,0.0559726495816263,0.0573776205266891
"simulated",200,3,0.130041890592271,0.195589965145554,0.226934855300341,0.260886500811123
"simulated",1485,3,0.0482223126657053,0.0729569811252956,0.0876655105916455,0.0936196274752555
"simulated",2009,3,0.0404966758939776,0.0639271559500264,0.0755887532145647,0.0907506175160981
"simulated",2695,3,0.0357664535465726,0.053083897408164,0.0610611840774636,0.0708574881253293
"simulated",5000,2,0.0199040161053248,0.0340060769786374,0.0391401662688364,0.0430371154021381
"simulated",5000,3,0.0267920232847385,0.0416097593974415,0.0503308882114317,0.0521252135548763
"real",8569,4,0.0240152775860941,0.0343085889293127,0.0392610296579462,0.0466870606809965
"real",2403,4,0.0433474296165048,0.0638766781379245,0.0724931629564523,0.0779847344421888
"real",2929,10,0.0649209884006044,0.0823513774780653,0.0873778745228157,0.0906671510124457
"real",61292,4,0.00899411321728923,0.0123286224222352,0.0138818975539355,0.0152266561432545
"real",20562,341,0.132957162308577,0.139184962256234,0.141426091368475,0.144804724821637
