"axis","method","pc","spearman_rho","monotonic_increasing","monotonic_decreasing","first_level_crossing_30deg","always_above_30deg_ceiling_effect","min_angle","max_angle"
"sparsity","pca_raw","angle_pc1",1,TRUE,FALSE,"0.7",TRUE,52.2942358801726,53.2687602549544
"sparsity","pca_raw","angle_pc2",1,TRUE,FALSE,"0.7",TRUE,45.1532572183931,52.8979786379869
"sparsity","pca_raw","angle_pc3",1,TRUE,FALSE,"0.7",TRUE,51.9590557904317,64.4583150799192
"sparsity","pca_glmpca","angle_pc1",0.8,FALSE,FALSE,"0.7",TRUE,74.8822290461153,76.5979112830635
"sparsity","pca_glmpca","angle_pc2",0.8,FALSE,FALSE,"0.7",TRUE,75.3696081228271,76.9683602015725
"sparsity","pca_glmpca","angle_pc3",0.9,FALSE,FALSE,"0.7",TRUE,75.5562552816311,77.67122808133
"sparsity","pca_libnorm","angle_pc1",1,TRUE,FALSE,"0.7",TRUE,41.6367815336059,55.1246520666892
"sparsity","pca_libnorm","angle_pc2",1,TRUE,FALSE,"0.7",TRUE,43.1986337423431,61.9641212970462
"sparsity","pca_libnorm","angle_pc3",1,TRUE,FALSE,"0.7",TRUE,48.155426006818,67.7549324481523
"sparsity","pca_sctransform_v2","angle_pc1",1,TRUE,FALSE,"0.7",TRUE,58.4243461761422,72.3541480629465
"sparsity","pca_sctransform_v2","angle_pc2",1,TRUE,FALSE,"0.7",TRUE,61.0493857431216,74.4045688254692
"sparsity","pca_sctransform_v2","angle_pc3",1,TRUE,FALSE,"0.7",TRUE,63.5118451268214,76.1604841021433
"sparsity","pca_shiftedlog","angle_pc1",1,TRUE,FALSE,"0.7",TRUE,52.3517957673456,63.4662633022664
"sparsity","pca_shiftedlog","angle_pc2",0.9,FALSE,FALSE,"0.7",TRUE,54.2592858413703,65.782396493253
"sparsity","pca_shiftedlog","angle_pc3",0.7,FALSE,FALSE,"0.7",TRUE,57.6046604672936,66.6846056409441
"sparsity","pca_log","angle_pc1",1,TRUE,FALSE,"0.7",TRUE,61.3837750578862,67.7810865122812
"sparsity","pca_log","angle_pc2",1,TRUE,FALSE,"0.7",TRUE,62.5083393325141,70.2273526174994
"sparsity","pca_log","angle_pc3",0.7,FALSE,FALSE,"0.7",TRUE,64.0558296874228,71.015030326256
"depth","pca_raw","angle_pc1",0.5,FALSE,FALSE,"500",TRUE,50.9173446951659,53.853918197705
"depth","pca_raw","angle_pc2",-1,FALSE,TRUE,"500",TRUE,46.2850144260398,51.5105732453232
"depth","pca_raw","angle_pc3",-1,FALSE,TRUE,"500",TRUE,54.145476846932,61.7893679890297
