"axis","simulator","method","failure_mode","threshold_status","threshold_value","mean_flag_rate","min_flag_rate","max_flag_rate","alignment"
"sparsity","scdesign3","pca_glmpca","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"sparsity","scdesign3","pca_glmpca","step6_2_cluster_collapse","always_below_threshold",NA,0.852674897119342,0.769547325102881,0.995884773662551,"consistent_uniform_high"
"sparsity","scdesign3","pca_glmpca","step6_3_phantom_clustering","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","scdesign3","pca_glmpca","step6_4_variance_hijacking","always_below_threshold",NA,0.0246913580246914,0.00823045267489712,0.037037037037037,"inconsistent_low_flag_despite_always_failing"
"sparsity","scdesign3","pca_glmpca","step6_6_neighborhood_collapse","always_below_threshold",NA,0.99917695473251,0.995884773662551,1,"consistent_uniform_high"
"sparsity","scdesign3","pca_glmpca","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.993415637860082,0.979423868312757,1,"consistent_uniform_high"
"sparsity","scdesign3","pca_libnorm","step6_1_technical_separation","interpolated",0.807487391955476,0,0,0,"inconsistent_not_increasing"
"sparsity","scdesign3","pca_libnorm","step6_2_cluster_collapse","interpolated",0.807487391955476,1,1,1,"inconsistent_not_increasing"
"sparsity","scdesign3","pca_libnorm","step6_3_phantom_clustering","interpolated",0.807487391955476,1,1,1,"inconsistent_not_increasing"
"sparsity","scdesign3","pca_libnorm","step6_4_variance_hijacking","interpolated",0.807487391955476,0,0,0,"inconsistent_not_increasing"
"sparsity","scdesign3","pca_libnorm","step6_6_neighborhood_collapse","interpolated",0.807487391955476,1,1,1,"inconsistent_not_increasing"
"sparsity","scdesign3","pca_libnorm","step6_7_subspace_rotation_slippage","interpolated",0.807487391955476,0.923456790123457,0.790123456790123,1,"consistent_increasing"
"sparsity","scdesign3","pca_log","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"sparsity","scdesign3","pca_log","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","scdesign3","pca_log","step6_3_phantom_clustering","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
