"axis","simulator","method","method_label","threshold_value","threshold_status","reliable","reliability_note"
"batch","symsim","pca_glmpca","GLM-PCA",NA,"always_below_threshold",FALSE,"symsim result reported but flagged unreliable: unexplained anomalous positive relationship, confounding and inertness ruled out (see docs/step5_axis_findings.md)"
"batch","symsim","pca_libnorm","Libnorm PCA",NA,"between_simple_and_complex",FALSE,"symsim result reported but flagged unreliable: unexplained anomalous positive relationship, confounding and inertness ruled out (see docs/step5_axis_findings.md)"
"batch","symsim","pca_log","Log-PCA",NA,"always_below_threshold",FALSE,"symsim result reported but flagged unreliable: unexplained anomalous positive relationship, confounding and inertness ruled out (see docs/step5_axis_findings.md)"
"batch","symsim","pca_raw","Raw PCA",NA,"between_simple_and_complex",FALSE,"symsim result reported but flagged unreliable: unexplained anomalous positive relationship, confounding and inertness ruled out (see docs/step5_axis_findings.md)"
"batch","symsim","pca_sctransform_v2","Pearson Residual PCA (SCT v2)",NA,"always_below_threshold",FALSE,"symsim result reported but flagged unreliable: unexplained anomalous positive relationship, confounding and inertness ruled out (see docs/step5_axis_findings.md)"
"batch","symsim","pca_shiftedlog","Shifted Log-PCA",NA,"always_below_threshold",FALSE,"symsim result reported but flagged unreliable: unexplained anomalous positive relationship, confounding and inertness ruled out (see docs/step5_axis_findings.md)"
"dropout","symsim","pca_glmpca","GLM-PCA",NA,"always_below_threshold",FALSE,"symsim excluded: dropout non-monotonic, confirmed not a simple label swap (see docs/step5_axis_findings.md)"
"dropout","symsim","pca_libnorm","Libnorm PCA",NA,"between_low_and_high",FALSE,"symsim excluded: dropout non-monotonic, confirmed not a simple label swap (see docs/step5_axis_findings.md)"
"dropout","symsim","pca_log","Log-PCA",NA,"always_below_threshold",FALSE,"symsim excluded: dropout non-monotonic, confirmed not a simple label swap (see docs/step5_axis_findings.md)"
"dropout","symsim","pca_raw","Raw PCA",NA,"between_low_and_high",FALSE,"symsim excluded: dropout non-monotonic, confirmed not a simple label swap (see docs/step5_axis_findings.md)"
"dropout","symsim","pca_sctransform_v2","Pearson Residual PCA (SCT v2)",NA,"always_below_threshold",FALSE,"symsim excluded: dropout non-monotonic, confirmed not a simple label swap (see docs/step5_axis_findings.md)"
"dropout","symsim","pca_shiftedlog","Shifted Log-PCA",NA,"between_low_and_high",FALSE,"symsim excluded: dropout non-monotonic, confirmed not a simple label swap (see docs/step5_axis_findings.md)"
"clipping","scdesign3","pca_glmpca","GLM-PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","scdesign3","pca_libnorm","Libnorm PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","scdesign3","pca_log","Log-PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","scdesign3","pca_raw","Raw PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","scdesign3","pca_sctransform_v2","Pearson Residual PCA (SCT v2)",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","scdesign3","pca_shiftedlog","Shifted Log-PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","symsim","pca_glmpca","GLM-PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","symsim","pca_libnorm","Libnorm PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","symsim","pca_log","Log-PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","symsim","pca_raw","Raw PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","symsim","pca_sctransform_v2","Pearson Residual PCA (SCT v2)",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
"clipping","symsim","pca_shiftedlog","Shifted Log-PCA",NA,"always_below_threshold",FALSE,"scdesign3 and symsim excluded: clipping confirmed generatively inert for both (see docs/step5_axis_findings.md)"
